,Model,Hafiza,Ekran_Boyutu,Garanti,Kamera_Cozunurluk,Baglanti_Hizi,Pil_Gucu,RAM,Fiyat
348,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
349,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
350,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
351,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
352,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
353,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
354,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
355,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
356,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
357,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
358,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,0.0
359,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
